,index,Unnamed: 0,Unnamed: 0.1,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,8476,8568,8568,42103950103,0.684,41.366595600000004,-74.6996707,Orange Regional Medical Center,-74.36811,41.44,28.89890744263016 km,3036,2018,"Census Tract 9501.03, Pike County, Pennsylvania",950103,42,103,42103950103,2250,1059,1191,41.1,466,2142.0,0.0,62.0,10.0,7.0,0.0,2063.0,87.0,100.0,1984.0,35795.0,2190.0,184.0,153.0,259.0,201.0,356.0,165.0,92.0,266.0,2233,2052,181,42,103,950103,3289.473684,34440.27399999998,35
1,8548,8640,8640,42103950104,28.844,41.3951555,-74.765631,Orange Regional Medical Center,-74.36811,41.44,33.60462713209919 km,3037,2018,"Census Tract 9501.04, Pike County, Pennsylvania",950104,42,103,42103950104,2396,1142,1254,56.1,714,2390.0,7.0,50.0,25.0,0.0,26.0,2282.0,6.0,91.0,2232.0,27089.0,2328.0,356.0,240.0,310.0,219.0,177.0,167.0,138.0,327.0,2328,2284,44,42,103,950104,83.06753571,44052.132999999994,42
2,8556,8649,8649,42017105702,0.872,40.2053376,-74.77309190000001,St. Francis Medical Center,-74.74192,40.21717,2.9611087155083795 km,2193,2018,"Census Tract 1057.02, Bucks County, Pennsylvania",105702,42,17,42017105702,2852,1533,1319,39.5,223,2780.0,0.0,45.0,194.0,0.0,39.0,2502.0,72.0,232.0,2333.0,37179.0,2852.0,305.0,138.0,254.0,249.0,378.0,299.0,122.0,398.0,2852,2554,298,42,17,105702,3270.642202,3607.351000000001,26
3,8579,8672,8672,42017105704,1.0170000000000001,40.2096701,-74.7893738,St. Francis Medical Center,-74.74192,40.21717,4.124565920143771 km,2186,2018,"Census Tract 1057.04, Bucks County, Pennsylvania",105704,42,17,42017105704,6570,3346,3224,37.9,899,6296.0,0.0,245.0,990.0,0.0,95.0,4966.0,187.0,469.0,4624.0,36019.0,6483.0,521.0,433.0,634.0,748.0,828.0,443.0,145.0,1101.0,6550,6068,482,42,17,105704,6460.176990999999,4666.218999999998,38
4,8581,8674,8674,42017105805,4.508,40.1790904,-74.7919973,St. Francis Medical Center,-74.74192,40.21717,6.004950640369986 km,1769,2018,"Census Tract 1058.05, Bucks County, Pennsylvania",105805,42,17,42017105805,6036,2841,3195,37.6,782,5688.0,17.0,276.0,433.0,0.0,0.0,4962.0,334.0,485.0,4713.0,33808.0,5943.0,659.0,484.0,574.0,613.0,721.0,691.0,224.0,510.0,6036,5505,531,42,17,105805,1338.952972,7587.767,42
5,8591,8684,8684,42017105505,1.975,40.224948499999996,-74.7994473,Capital Health Regional Medical Center,-74.75259,40.23608,4.175000227950661 km,1691,2018,"Census Tract 1055.05, Bucks County, Pennsylvania",105505,42,17,42017105505,4052,2046,2006,46.3,789,3828.0,0.0,108.0,162.0,0.0,78.0,3480.0,140.0,196.0,3432.0,60101.0,3968.0,389.0,161.0,281.0,342.0,134.0,334.0,171.0,1279.0,4052,4003,49,42,17,105505,2051.64557,5796.668000000001,29
6,8592,8685,8685,42103950603,0.469,41.3236611,-74.80101850000001,Orange Regional Medical Center,-74.36811,41.44,38.44786409277715 km,3045,2018,"Census Tract 9506.03, Pike County, Pennsylvania",950603,42,103,42103950603,1179,554,625,54.9,388,1167.0,0.0,6.0,31.0,0.0,0.0,1130.0,12.0,46.0,1090.0,27336.0,1145.0,164.0,152.0,131.0,125.0,139.0,81.0,29.0,144.0,1145,1110,35,42,103,950603,2513.859275,41563.66199999999,45
7,8601,8694,8694,42017105900,1.518,40.140843100000005,-74.81099549999999,Lower Bucks Prime Healthcare Services,-74.86681,40.105270000000004,6.183620873564243 km,2187,2018,"Census Tract 1059, Bucks County, Pennsylvania",105900,42,17,42017105900,1922,883,1039,42.5,352,1893.0,0.0,14.0,40.0,0.0,0.0,1839.0,6.0,50.0,1797.0,30977.0,1895.0,211.0,157.0,232.0,215.0,203.0,215.0,66.0,164.0,1922,1804,118,42,17,105900,1266.139657,7698.780000000002,33
8,8609,8702,8702,42017105811,0.89,40.1625011,-74.819221,Lower Bucks Prime Healthcare Services,-74.86681,40.105270000000004,7.538782802377309 km,2182,2018,"Census Tract 1058.11, Bucks County, Pennsylvania",105811,42,17,42017105811,5764,2753,3011,39.2,915,5643.0,0.0,175.0,317.0,0.0,111.0,5040.0,108.0,221.0,4989.0,35324.0,5739.0,532.0,338.0,643.0,603.0,775.0,427.0,270.0,699.0,5764,5495,269,42,17,105811,6476.404493999999,8250.923000000003,37
9,8612,8705,8705,42017105810,0.469,40.1768385,-74.82263859999999,St. Francis Medical Center,-74.74192,40.21717,8.203293327465623 km,1770,2018,"Census Tract 1058.10, Bucks County, Pennsylvania",105810,42,17,42017105810,2195,1037,1158,41.0,377,2123.0,0.0,19.0,102.0,0.0,0.0,2002.0,65.0,53.0,1949.0,32017.0,2188.0,250.0,169.0,226.0,224.0,276.0,186.0,86.0,178.0,2195,2131,64,42,17,105810,4680.1705759999995,9954.603000000003,44
