,index,Unnamed: 0,USPS,GEOID,ALAND_SQMI,TRACT_LAT,TRACT_LONG,State_x,Hospital,HOSPITAL_LONG,HOSPITAL_LAT,CT_dist,Unnamed: 0.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,44050,44443,KS,20209045200,0.8059999999999999,39.0545674,-94.6121595,Kansas,The University of Kansas Hospital,-94.61062,39.05615,0.22051344362926206 km,726,2018,"Census Tract 452, Wyandotte County, Kansas",45200,20,209,20209045200,4062,1922,2140,30.6,256,3900.0,6.0,311.0,160.0,0.0,158.0,3265.0,109.0,961.0,2462.0,32118.0,3993.0,398.0,214.0,625.0,419.0,533.0,439.0,84.0,438.0,4062,3639,423,20,209,45200,5039.702233,232.266,2
1,44051,44444,KS,20209043000,0.604,39.077873100000005,-94.6122858,Kansas,The University of Kansas Hospital,-94.61062,39.05615,2.4159334297371364 km,707,2018,"Census Tract 430, Wyandotte County, Kansas",43000,20,209,20209043000,121,72,49,40.5,17,121.0,0.0,0.0,0.0,0.0,10.0,111.0,0.0,72.0,49.0,31053.0,121.0,10.0,12.0,15.0,19.0,18.0,11.0,0.0,5.0,121,85,36,20,209,43000,200.33112580000002,3585.312,24
2,44055,44449,KS,20091051600,2.045,38.969359600000004,-94.61833759999999,Missouri,St. Joseph Medical Center,-94.60323000000001,38.93676,3.84868667355969 km,679,2018,"Census Tract 516, Johnson County, Kansas",51600,20,91,20091051600,5653,2740,2913,42.3,945,5550.0,8.0,86.0,37.0,0.0,22.0,5397.0,51.0,244.0,5220.0,58879.0,5594.0,443.0,170.0,390.0,225.0,411.0,466.0,206.0,1591.0,5653,5546,107,20,91,51600,2764.303178,5354.149,24
3,44056,44450,KS,20091050000,1.4140000000000001,39.035661100000006,-94.6186071,Kansas,The University of Kansas Hospital,-94.61062,39.05615,2.377376109797825 km,301,2018,"Census Tract 500, Johnson County, Kansas",50000,20,91,20091050000,4911,2311,2600,39.0,984,4531.0,0.0,121.0,17.0,0.0,150.0,4243.0,298.0,366.0,4036.0,53408.0,4829.0,366.0,193.0,302.0,379.0,518.0,490.0,238.0,1205.0,4908,4756,152,20,91,50000,3473.1258840000005,2673.1040000000003,21
4,44057,44451,KS,20209045100,0.655,39.060502500000005,-94.61867420000002,Kansas,The University of Kansas Hospital,-94.61062,39.05615,0.8482197068003032 km,696,2018,"Census Tract 451, Wyandotte County, Kansas",45100,20,209,20209045100,2016,1070,946,28.8,129,1919.0,10.0,285.0,413.0,0.0,65.0,1146.0,48.0,527.0,676.0,26507.0,1962.0,266.0,168.0,205.0,225.0,254.0,158.0,29.0,55.0,2011,1659,352,20,209,45100,3077.862595,1144.1119999999999,10
5,44059,44453,KS,20209041000,0.395,39.1268148,-94.6196347,Missouri,North Kansas City Hospital,-94.5516,39.14956,6.401219779459399 km,760,2018,"Census Tract 410, Wyandotte County, Kansas",41000,20,209,20209041000,1384,598,786,28.9,118,1245.0,13.0,152.0,956.0,0.0,7.0,117.0,109.0,184.0,19.0,14904.0,1354.0,250.0,192.0,107.0,188.0,78.0,33.0,17.0,10.0,1384,1243,141,20,209,41000,3503.7974679999998,11842.777000000002,39
6,44062,44456,KS,20091050800,1.39,39.0183601,-94.6202849,Missouri,Saint Luke's Hospital of Kansas City,-94.59012,39.046640000000004,4.083936119779017 km,681,2018,"Census Tract 508, Johnson County, Kansas",50800,20,91,20091050800,2710,1378,1332,46.4,573,2653.0,6.0,42.0,0.0,0.0,14.0,2591.0,26.0,43.0,2562.0,97986.0,2679.0,289.0,75.0,83.0,88.0,69.0,127.0,36.0,1018.0,2710,2692,18,20,91,50800,1949.6402879999998,4904.959000000001,32
7,44063,44457,KS,20091051500,0.9390000000000001,38.9870038,-94.6208677,Missouri,Research Medical Center,-94.55977,39.00716,5.746457287765262 km,400,2018,"Census Tract 515, Johnson County, Kansas",51500,20,91,20091051500,4197,1884,2313,37.0,827,4018.0,0.0,84.0,77.0,0.0,10.0,3847.0,85.0,93.0,3805.0,49981.0,4065.0,274.0,260.0,240.0,300.0,514.0,560.0,147.0,880.0,4159,4010,149,20,91,51500,4469.648561999999,7125.807999999999,39
8,44064,44458,KS,20091053301,3.157,38.9181267,-94.6211316,Missouri,St. Joseph Medical Center,-94.60323000000001,38.93676,2.5862475416228157 km,393,2018,"Census Tract 533.01, Johnson County, Kansas",53301,20,91,20091053301,5624,2555,3069,54.8,1600,5571.0,14.0,238.0,69.0,0.0,0.0,5250.0,35.0,60.0,5190.0,49203.0,5542.0,682.0,290.0,386.0,429.0,401.0,320.0,31.0,1793.0,5624,5535,89,20,91,53301,1781.438074,3576.3450000000003,26
9,44065,44459,KS,20091053302,2.533,38.894496000000004,-94.621271,Kansas,Menorah Medical Center,-94.65131,38.91013,3.1308414243281693 km,555,2018,"Census Tract 533.02, Johnson County, Kansas",53302,20,91,20091053302,7349,3712,3637,48.9,1407,7273.0,0.0,339.0,56.0,0.0,18.0,6860.0,45.0,86.0,6775.0,60422.0,7294.0,549.0,289.0,430.0,508.0,517.0,444.0,167.0,2147.0,7325,7257,68,20,91,53302,2901.302803,4112.278,23
10,44067,44461,KS,20091051700,1.871,38.9451136,-94.62222709999999,Missouri,St. Joseph Medical Center,-94.60323000000001,38.93676,1.8901538616353815 km,683,2018,"Census Tract 517, Johnson County, Kansas",51700,20,91,20091051700,4762,2277,2485,46.1,1033,4502.0,0.0,84.0,0.0,0.0,47.0,4371.0,161.0,122.0,4343.0,67305.0,4607.0,452.0,176.0,229.0,219.0,291.0,278.0,227.0,1560.0,4706,4665,41,20,91,51700,2545.163014,3383.077,23
11,44069,44463,KS,20091050900,1.4240000000000002,39.0028412,-94.6231261,Missouri,Research Medical Center,-94.55977,39.00716,5.508828663707756 km,397,2018,"Census Tract 509, Johnson County, Kansas",50900,20,91,20091050900,4598,2132,2466,42.3,954,4478.0,0.0,213.0,11.0,11.0,0.0,4243.0,29.0,140.0,4103.0,54705.0,4470.0,429.0,164.0,235.0,276.0,405.0,484.0,172.0,1202.0,4570,4436,134,20,91,50900,3228.932584,6448.401000000002,32
