,index,Unnamed: 0,USPS,GEOID,ALAND_SQMI,ORIG_LAT,ORIG_LONG,Hospital,DEST_LAT,DEST_LONG,AERIAL_3,Unnamed: 0.1,Year,Name Returned,Tract,State,County,Geographical ID,Total Population,Pop. Male,Pop. Female,Median Age All,Pop. Over 65 Years,Pop. Race,Pop. AmInd or Alaska Alone,Pop. Asian Alone,Pop. Black or AfrAm Alone,Pop. Hawaiian or PacIsl Alone,Pop. Other Race Alone,Pop. White Alone,Two or more races,Pop. Hispanic or Latino,Pop. Not Hispanic or Latino,Median Income Last 12 Months,Pop. w Poverty Status,"Income Less than $10,000","Income $10,000-14,999","Income $15,000-24,999","Income $25,000-34,999","Income $35,000-49,999","Income $50,000-64,999","Income $65,000-74,999","Income Over $75,000",Insurance Surveyed,Insured,Noninsured,state,county,tract,POPDENSITY,DISTANCE_ROAD,DISTANCE_TIME
0,60629,61161,NV,32003005905,1.171,36.826683200000005,-114.05678449999999,Henderson Hospital,36.0728,-115.03105,120.9406863,457,2018,"Census Tract 59.05, Clark County, Nevada",5905,32,3,32003005905,2350,1053,1297,62.5,1069,2334.0,8.0,81.0,0.0,8.0,118.0,2119.0,16.0,376.0,1828.0,24747.0,2350.0,255.0,251.0,506.0,245.0,381.0,212.0,28.0,126.0,2350,2031,319,32,3,5905,2006.831768,139479.77099999992,93
1,60634,61166,NV,32003005903,4.133,36.82885039999999,-114.0783547,Henderson Hospital,36.0728,-115.03105,119.7192794,455,2018,"Census Tract 59.03, Clark County, Nevada",5903,32,3,32003005903,2390,1144,1246,64.4,1136,2371.0,0.0,57.0,4.0,22.0,5.0,2283.0,19.0,389.0,1899.0,30676.0,2314.0,351.0,225.0,299.0,305.0,312.0,197.0,109.0,327.0,2314,2220,94,32,3,5903,578.2724413,138280.4729999999,89
2,60637,61169,NV,32003005607,0.995,36.8027722,-114.08214740000001,Henderson Hospital,36.0728,-115.03105,117.47325759999998,250,2018,"Census Tract 56.07, Clark County, Nevada",5607,32,3,32003005607,3451,1709,1742,47.2,972,3305.0,29.0,0.0,32.0,0.0,335.0,2909.0,90.0,971.0,2311.0,22808.0,3382.0,406.0,384.0,593.0,400.0,349.0,194.0,91.0,107.0,3451,3203,248,32,3,5607,3468.3417090000003,135596.37499999994,92
3,60639,61171,NV,32003005614,0.9009999999999999,36.8015601,-114.09806670000002,Henderson Hospital,36.0728,-115.03105,116.3506246,137,2018,"Census Tract 56.14, Clark County, Nevada",5614,32,3,32003005614,2764,1528,1236,33.5,587,2642.0,0.0,102.0,87.0,0.0,402.0,2051.0,76.0,1003.0,1449.0,25384.0,2686.0,312.0,175.0,411.0,457.0,251.0,156.0,39.0,30.0,2764,2282,482,32,3,5614,3067.702553,133886.64799999996,85
4,60641,61173,NV,32003005615,1.1740000000000002,36.7890825,-114.11602849999998,Henderson Hospital,36.0728,-115.03105,114.2351502,138,2018,"Census Tract 56.15, Clark County, Nevada",5615,32,3,32003005615,1692,866,826,64.0,805,1584.0,25.0,65.0,6.0,0.0,96.0,1392.0,81.0,184.0,1311.0,26534.0,1665.0,153.0,167.0,304.0,275.0,222.0,70.0,70.0,95.0,1692,1552,140,32,3,5615,1441.226576,135169.56899999993,95
5,60645,61177,NV,32003005904,19.987000000000002,36.8095456,-114.1444709,Henderson Hospital,36.0728,-115.03105,114.02694029999999,456,2018,"Census Tract 59.04, Clark County, Nevada",5904,32,3,32003005904,3463,1655,1808,67.8,2130,3463.0,33.0,102.0,16.0,0.0,91.0,3221.0,0.0,245.0,3067.0,33994.0,3454.0,207.0,418.0,423.0,510.0,495.0,280.0,205.0,475.0,3463,3278,185,32,3,5904,173.26262069999999,132266.04499999998,80
6,60657,61189,NV,32003007600,896.801,36.4213092,-114.2068706,Sunrise Hospital and Medical Center,36.132529999999996,-115.13532,89.36121813,466,2018,"Census Tract 76, Clark County, Nevada",7600,32,3,32003007600,3902,1940,1962,43.0,904,3819.0,0.0,86.0,9.0,31.0,206.0,3487.0,65.0,930.0,2820.0,26006.0,3837.0,722.0,288.0,371.0,375.0,322.0,204.0,199.0,380.0,3864,3757,107,32,3,7600,4.351021018,254654.76600000015,108
7,60677,61209,NV,32007951500,3349.973,40.8598795,-114.31357870000001,St. Luke's Magic Valley Regional Medical Center,42.590472,-114.49611000000002,192.8123219,151,2018,"Census Tract 9515, Elko County, Nevada",951500,32,7,32007951500,4550,2462,2088,32.1,350,4373.0,0.0,0.0,37.0,70.0,101.0,4165.0,29.0,2524.0,1808.0,29054.0,4402.0,219.0,179.0,660.0,498.0,429.0,352.0,43.0,425.0,4550,4030,520,32,7,951500,1.3582199019999999,247966.302,105
8,60711,61244,NV,32003005612,0.988,36.5407786,-114.4428999,Valley Hospital Medical Center,36.163000000000004,-115.16623999999999,77.28461067,372,2018,"Census Tract 56.12, Clark County, Nevada",5612,32,3,32003005612,1070,534,536,59.6,394,1039.0,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,68.0,971.0,22500.0,1039.0,217.0,128.0,114.0,115.0,55.0,76.0,30.0,141.0,1070,973,97,32,3,5612,1082.9959509999999,102097.78499999993,58
9,60725,61258,NV,32017950100,3675.509,38.15916370000001,-114.4983787,Dixie Regional Medical Center,37.098448,-113.575946,143.141863,158,2018,"Census Tract 9501, Lincoln County, Nevada",950100,32,17,32017950100,2547,1444,1103,51.2,688,2493.0,0.0,62.0,168.0,0.0,191.0,2072.0,43.0,263.0,2030.0,26847.0,2049.0,547.0,167.0,216.0,226.0,407.0,135.0,127.0,233.0,2060,1971,89,32,17,950100,0.692965246,161250.59700000013,71
