GEOID,USPS,Hospital,State,ORIG_LAT,ORIG_LONG,THROMB,DEST_LAT,DEST_LONG,AERIAL_3
0,PA,Penn State Children's Hospital,42,40.264298,-76.673751,Geisinger Medical Center,40.968461,-76.604811,78.41214415
1,ND,Sanford Children's Hospital - Fargo,38,46.884666,-96.787796,CentraCare Health - St. Cloud Hospital,45.574495,-94.169613,248.9792171
2,FL,St. Joseph's Children's Hospital of Tampa,12,27.983532,-82.49008,AdventHealth Tampa,28.072027,-82.423572,11.78775753
3,NJ,St. Joseph's Children's Hospital,34,40.902527,-74.166824,Saint Barnabas Medical Center,40.76218715,-74.3036489,19.39276513
4,CA,Kaiser Permanente - Oakland Medical Centr,6,37.823994,-122.25784,Kaiser Foundation Hospital - Redwood City,37.489193,-122.22337,37.28383573
5,VA,Children's Hospitl of Richmond at VCU,51,37.540268,-77.432846,Johnston-Willis Hospital,37.51074,-77.5953,14.7293924
6,WI,Children's Hospital of Wisconsin,55,43.043343,-88.026276,Northwest Community Hospital,42.06733,-87.99133,108.4574832
7,CA,Kaiser Permanente Pediatric Care Center,6,34.072468,-117.43566,Pomona Valley Hospital Medical Center,34.07709,-117.75062,29.07649899
8,FL,Baptist Children's Hospital,12,25.687788,-80.340675,Jackson Memorial Hospital,25.79112,-80.21207,17.24983435
9,TN,Le Bonheur Children's Hospital,47,35.14344,-90.0317,Saint Thomas West Hospital,36.12984,-86.84392,308.7604831
10,WA,Seattle Children's,53,47.66447,-122.28317,Harborview Medical Center,47.60356,-122.32473,7.457699213
11,IN,Beacon Children's Hospital,18,41.684013,-86.25052,Community Hospital Munster,41.550567,-87.506791,105.7471421
12,MS,Children's of Mississippi,28,32.32881,-90.17562,Tulane University Hospital and Clinic,29.95983,-90.07649,262.8236094
13,CA,Valley Children's Healthcare,6,36.88444,-119.800579,Stanford Health Care,37.433409,-122.175721,219.5879076
14,CO,Children's Hospital Colorado,8,39.740765,-104.83503,Lutheran Medical Center,39.76783,-105.08892,21.96467696
15,VT,The University of Vermont Children's Hospital,50,44.48071,-73.19685,UMass Memorial Medical Center â€“ University Campus,42.27625,-71.76208,271.1022173
16,GA,Children's Hospital of Georgia,13,33.472088,-81.98927,Greenville Memorial Hospital,34.819024,-82.41299,154.4343802
17,LA,Ochsner Hospital for Children,22,29.962742,-90.144005,West Jefferson Medical Center,29.89141,-90.09437,9.246262922
18,PA,Lehigh Valley Reilly Children's Hopital,42,40.567081,-75.523948,Abington Hospital,40.118897,-75.119863,60.46061604
19,IN,Riley Hospital for Children at Indiana University Health,18,39.77726,-86.18137,Good Samaritan Hospital,39.14003,-84.5206,159.4802099
20,NY,The Children's Hospital at Montefiore,36,40.87988,-73.8789,NYU Langone Hospitals,40.7423,-73.9743,17.2690049
21,NY,Bernard Millie Duker Children's Hospital,36,42.652603,-72.77507,Hartford Hospital,41.75437,-72.67905,100.0878569
22,NC,Duke Children's Hospital Health Center,37,36.008205,-78.937645,Moses H. Cone Memorial Hospital,36.091918,-79.785944,76.99946433
23,MN,Mayo Eugenio Litta Children's Hospital,27,44.021342,-92.482195,Regions Hospital,44.95594,-93.09423,114.6980475
24,CA,UCSF Benioff Children's Hospital Oakland,6,37.83731,-122.2682,Kaiser Foundation Hospital - Redwood City,37.489193,-122.22337,38.83948414
25,UT,Primary Children's Hospital,49,40.770859,-111.839687,St. Luke's Regional Medical Ceter - Boise,43.612338,-116.191892,478.2656501
