,Unnamed: 0,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_3,DISTANCE_ROAD,DISTANCE_TIME,USPS,THROMB,DISTANCE_ROAD_MILES
0,0,5,5,Children's Hospitl of Richmond at VCU,51,37.540268,-77.432846,Johnston-Willis Hospital,37.51074000000001,-77.5953,14.7293924,17224.950999999994,43,,,10.703114941528822
1,1,53,53,Bon Secours St. Mary's Hospital Children's Services,51,37.585026,-77.512596,Johnston-Willis Hospital,37.51074000000001,-77.5953,11.01776728,13933.815000000008,50,,,8.658092758522132
2,2,91,91,Inova Children's Hospital,51,38.85876500000001,-77.22603000000002,The Johns Hopkins Hospital,39.2973,-76.5933,73.26536969,80633.93400000001,130,,,50.103728236419904
3,3,112,112,Children's Hospital of the King's Daughters,51,36.86134000000001,-76.30162,Virginia Commonwealth University Health System Authority,37.540289,-77.430789,125.4041741,145697.475,125,,,90.53243876371681
4,4,149,149,Carilion Clinic Children's Hospital,51,37.25206,-79.94169000000002,Novant Health Forsyth Medical Center,36.07546,-80.29654000000002,134.36732,100302.424,117,,,62.32519169348926
5,0,69,69,The Children's Hospital at Saint Francis,40,36.075058,-95.922134,Hillcrest Medical Center,36.14687,-95.9684,8.991501589,10857.077,49,,,6.7462916475076735
6,1,81,81,Oklahoma Children's Hospital at OU Health,40,35.48182100000001,-97.497542,Mercy Hospital Oklahoma City,35.60718,-97.59948,16.70017869,20222.045000000006,55,,,12.565427442305545
7,2,165,165,The Children's Hospital at OU Medical Center,40,35.481837,-97.49754,Mercy Hospital Oklahoma City,35.60718,-97.59948,16.69880015,20222.045000000006,55,,,12.565427442305545
8,0,4,4,Kaiser Permanente - Oakland Medical Centr,6,37.823994,-122.25784,Mills-Peninsula,37.592045,-122.382427,27.99032507,39686.835000000014,79,,,24.660317272919343
9,1,7,7,Kaiser Permanente Pediatric Care Center,6,34.072468,-117.43566,Pomona Valley Hospital Medical Center,34.077090000000005,-117.75062,29.07649899,30025.774000000016,48,,,18.657197360408624
10,2,13,13,Valley Children's Healthcare,6,36.88444000000001,-119.800579,Sierra Vista Hospital,35.291976,-120.665608,193.110534,228260.50899999996,167,,,141.83485714640784
11,3,24,24,UCSF Benioff Children's Hospital Oakland,6,37.83731,-122.2682,Mills-Peninsula,37.592045,-122.382427,29.02561117,39004.942,75,,,24.23660755340699
12,4,30,30,Kaiser Foundation Hospital - Santa Clara,6,37.33778,-121.99581,Regional Medical Center of San Jose,37.36271,-121.84786,13.3974415,15763.122000000005,53,,,9.794774255284779
13,5,66,66,Kaiser Permanente Pediatric Care Center Downey,6,33.91706,-118.12907,Los Alamitos Medical Center,33.804390000000005,-118.06662,13.76874703,16301.074000000002,48,,,10.129042961711013
14,6,70,70,UCLA Mattel Childrens Hospital,6,34.06592,-118.44521,Cedars-Sinai Health System,34.076055,-118.377725,6.330025917,7601.675999999998,50,,,4.723474219245155
15,7,77,77,Children's Hospital of Los Angeles,6,34.098152,-118.29068999999998,Providence Health System - Southern California,34.155305,-118.328075,7.216981723,11069.532,46,,,6.878305392272608
