STATE,HOSPITAL,CITY,ZIPCODE,CERT_DESIGNATION,CERT_ORG,OBJECTID,HOSPITAL_LAT,HOSPITAL_LONG,
Alabama,Wiregrass Medical Center ,Geneva,36340,Level III,State,251,31.04902,-85.89128,
Alabama,Walker Baptist Medical Center ,Jasper,35501,Level III,State,249,33.84213,-87.23573,
Alabama,USA Health University Hospital,Mobile,36617,Comprehensive Stroke Center,The Joint Commission,341,30.70736,-88.09825,
Alabama,University of Alabama at Birmingham,Birmingham,35249,Comprehensive Stroke Center,The Joint Commission,173,33.50208,-86.80632,
Alabama,UAB Medical West ,Bessemer,35022,Level III,State,246,33.37248,-86.9904,
Alabama,Troy Regional Medical Center ,Troy,36081,Level III,State,242,31.78136,-85.94555,
Alabama,Thomas Hospital ,Fairhope,36532,Level III,State,238,30.52057598,-87.88869324,
Alabama,Stringfellow Memorial Hospital,Anniston,36207,Level II,State,340,33.66769,-85.82384,
Alabama,St. Vincent’s East,Birmingham,35235,Level II,State,339,33.59567,-86.66767,
Alabama,St. Vincent’s Chilton ,Clanton,35045,Level III,State,234,32.838265,-86.63324,
Alabama,St. Vincent’s Blount,Oneonta,35121,Level II,State,338,33.93006,-86.49381,
Alabama,St. Vincent's Birmingham,Birmingham,35205,Level II,State,337,33.50781,-86.78886,
Alabama,Springhill Medical Center,Mobile,36608,Level II,State,336,30.68513,-88.13143,
Alabama,Southeast Health,Dothan,36301,Comprehensive Stroke Center,DNV GL,219,31.21588,-85.36301,
Alabama,South Baldwin Regional Medical Center,Foley,36535,Primary Stroke Center,The Joint Commission,335,30.42579,-87.68442,
Alabama,Shoals Hospital ,Muscle Shoals,35661,Level III,State,231,34.74688,-87.6763,
Alabama,Shelby Baptist Medical Center,Alabaster,35007,Primary Stroke Center,The Joint Commission,334,33.2521,-86.81359,
Alabama,Russell Medical Center ,Alexander City,35010,Level III,State,229,32.93081,-85.96984,
Alabama,Riverview Regional Medical Center,Gadsden,35901,Level II,State,333,34.00417,-86.00309,
Alabama,Regional Medical Center ,Greenville,36037,Level III,State,227,31.82734,-86.62755,
Alabama,Providence Hospital,Mobile,36608,Primary Stroke Center,The Joint Commission,332,30.67673843,-88.19717998,
Alabama,Princeton Baptist Medical Center,Birmingham,35211,Primary Stroke Center,The Joint Commission,331,33.49853,-86.84632,
Alabama,Prattville Baptist Hospital,Prattville,36067,Level III,State,225,32.46411,-86.45168,
Alabama,Northeast Alabama Regional Medical Center,Anniston,36207,Level II,State,329,33.6615643,-85.8186995,
Alabama,North Baldwin Infirmary ,Bay Minette,36507,Level III,State,223,30.90364,-87.78466,
Alabama,North Alabama Medical Center,Florence,35630,Primary Stroke Center,The Joint Commission,330,34.80438,-87.65104,
Alabama,Monroe County Hospital ,Monroeville,36460,Level III,State,220,31.49792,-87.32066,
Alabama,Mobile Infirmary,Mobile,36607,Primary Stroke Center,The Joint Commission,311,30.69218729,-88.08126809,
Alabama,Mizell Memorial Hospital ,Opp,36467,Level III,State,216,31.29215,-86.25509,
