,State,Hospital,City,Zip Code,Designation/Certification,Certifying Organization,ObjectId,lat,long,Unnamed: 9,STATE
0,Alabama,Wiregrass Medical Center ,Geneva,36340,Level III,State,251,31.049020000000002,-85.89128000000001,,01
1,Alabama,Walker Baptist Medical Center ,Jasper,35501,Level III,State,249,33.84213,-87.23573,,01
2,Alabama,USA Health University Hospital,Mobile,36617,Comprehensive Stroke Center,The Joint Commission,341,30.707359999999998,-88.09825,,01
3,Alabama,University of Alabama at Birmingham,Birmingham,35249,Comprehensive Stroke Center,The Joint Commission,173,33.50208,-86.80632,,01
4,Alabama,UAB Medical West ,Bessemer,35022,Level III,State,246,33.372479999999996,-86.9904,,01
5,Alabama,Troy Regional Medical Center ,Troy,36081,Level III,State,242,31.78136,-85.94555,,01
6,Alabama,Thomas Hospital ,Fairhope,36532,Level III,State,238,30.52057598,-87.88869324,,01
7,Alabama,Stringfellow Memorial Hospital,Anniston,36207,Level II,State,340,33.66769,-85.82384,,01
8,Alabama,St. Vincent’s East,Birmingham,35235,Level II,State,339,33.59567,-86.66767,,01
9,Alabama,St. Vincent’s Chilton ,Clanton,35045,Level III,State,234,32.838265,-86.63324,,01
10,Alabama,St. Vincent’s Blount,Oneonta,35121,Level II,State,338,33.93006,-86.49381,,01
11,Alabama,St. Vincent's Birmingham,Birmingham,35205,Level II,State,337,33.50781,-86.78886,,01
12,Alabama,Springhill Medical Center,Mobile,36608,Level II,State,336,30.685129999999997,-88.13143000000001,,01
13,Alabama,Southeast Health,Dothan,36301,Comprehensive Stroke Center,DNV GL,219,31.21588,-85.36301,,01
14,Alabama,South Baldwin Regional Medical Center,Foley,36535,Primary Stroke Center,The Joint Commission,335,30.425790000000003,-87.68441999999999,,01
15,Alabama,Shoals Hospital ,Muscle Shoals,35661,Level III,State,231,34.74688,-87.6763,,01
16,Alabama,Shelby Baptist Medical Center,Alabaster,35007,Primary Stroke Center,The Joint Commission,334,33.2521,-86.81359,,01
17,Alabama,Russell Medical Center ,Alexander City,35010,Level III,State,229,32.93081,-85.96984,,01
18,Alabama,Riverview Regional Medical Center,Gadsden,35901,Level II,State,333,34.00417,-86.00309,,01
19,Alabama,Regional Medical Center ,Greenville,36037,Level III,State,227,31.827340000000003,-86.62755,,01
20,Alabama,Providence Hospital,Mobile,36608,Primary Stroke Center,The Joint Commission,332,30.67673843,-88.19717998,,01
21,Alabama,Princeton Baptist Medical Center,Birmingham,35211,Primary Stroke Center,The Joint Commission,331,33.49853,-86.84631999999999,,01
22,Alabama,Prattville Baptist Hospital,Prattville,36067,Level III,State,225,32.46411,-86.45168000000001,,01
23,Alabama,Northeast Alabama Regional Medical Center,Anniston,36207,Level II,State,329,33.661564299999995,-85.8186995,,01
24,Alabama,North Baldwin Infirmary ,Bay Minette,36507,Level III,State,223,30.903640000000003,-87.78466,,01
25,Alabama,North Alabama Medical Center,Florence,35630,Primary Stroke Center,The Joint Commission,330,34.80438,-87.65104000000001,,01
26,Alabama,Monroe County Hospital ,Monroeville,36460,Level III,State,220,31.49792,-87.32066,,01
27,Alabama,Mobile Infirmary,Mobile,36607,Primary Stroke Center,The Joint Commission,311,30.69218729,-88.08126809,,01
28,Alabama,Mizell Memorial Hospital ,Opp,36467,Level III,State,216,31.29215,-86.25509,,01
29,Alabama,Medical Center Enterprise,Enterprise,36330,Acute Stroke Ready,The Joint Commission,174,31.318740000000002,-85.85515,,01
30,Alabama,Medical Center Barbour,Eufaula,36027,Level III,State,171,31.888709999999996,-85.15616999999999,,01
31,Alabama,Marshall Medical Center South,Boaz,35957,Level III,State,168,34.22165,-86.16005,,01
32,Alabama,Marshall Medical Center North,Guntersville,35976,Level III,State,165,34.36464,-86.42198,,01
33,Alabama,Madison Hospital ,Madison,35758,Level III,State,106,34.74834,-86.76531,,01
34,Alabama,Lakeland Community Hospital ,Haleyville,35565,Level III,State,103,34.24107,-87.59134,,01
35,Alabama,Jackson Medical Center ,Jackson,36545,Level III,State,361,31.531679999999998,-87.89546,,01
36,Alabama,Jackson Hospital,Montgomery,36106,Primary Stroke Center,The Joint Commission,247,32.3669,-86.28485,,01
37,Alabama,Huntsville Hospital,Huntsville,35801,Primary Stroke Center,The Joint Commission,243,34.720009999999995,-86.57529,,01
38,Alabama,Highlands Medical Center ,Scottsboro,35768,Level III,State,360,34.66178,-86.04741999999999,,01
39,Alabama,Helen Keller Hospital,Sheffield,35660,Level II,State,239,34.74586,-87.69946999999999,,01
40,Alabama,Grove Hill Memorial Hospital ,Grove Hill,36451,Level III,State,359,31.694229999999997,-87.77625,,01
41,Alabama,Grandview Medical Center,Birmingham,35243,Primary Stroke Center,The Joint Commission,235,33.43322,-86.71772,,01
42,Alabama,Gadsden Regional Medical Center,Gasden,35903,Primary Stroke Center,The Joint Commission,232,34.00829,-85.96629,,01
